ProductNameLong,Description,CompanyName,PackageIdentifier,TypeName,SpecificProductID,SpecificDrugProductID,GenericDrugProductID,EquivalenceCodes,BrandGenericStatus,LicenseTypeName,LegendStatus,MarketStatus,OffMarketDate,Repackaged,PrivateLabel,DEAClassification,ReplacedByPackageID,MarketClasses,PackageSize,Ingredients,OnMarketDate,WACBeginDate,WACPrice,WACPriceChange,WACUnitPrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ropinirole Hydrochloride 3mg Tablet,"bottle, 100 each Ropinirole HCl 3mg, Oral tablet",Marlex Pharmaceuticals,10135-0677-01,NDC,1682,1512,740,AB,Generic,aNDA,Rx,On,,No,No,NA,,"Anti-Parkinson drugs, Dopamine Agonists (Oral)",100,(2396) Ropinirole Hydrochloride,1/28/2019 0:00,1/28/2019,26.99,,0.2699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palonosetron Hydrochloride 0.25mg/5mL Prefilled Syringe Solution for Injection,"box, 5 pre-filled syringe, 5 ml Palonosetron HCl 0.05mg/1mL, Solution for injection",Sagent Pharmaceuticals,25021-0788-74,NDC,13046,10564,3237,AP,Generic,aNDA,Rx,On,,No,No,NA,,Serotonin/5HT3 Antagonist Antiemetics/antinauseants (Intravenous),25,(1446) Palonosetron Hydrochloride,4/18/2019 0:00,4/18/2019,1510,,60.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ropinirole Hydrochloride 4mg Tablet,"bottle, 100 each Ropinirole HCl 4mg, Oral tablet",Marlex Pharmaceuticals,10135-0678-01,NDC,1553,1400,740,AB,Generic,aNDA,Rx,On,,No,No,NA,,"Anti-Parkinson drugs, Dopamine Agonists (Oral)",100,(2396) Ropinirole Hydrochloride,1/28/2019 0:00,1/28/2019,26.99,,0.2699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ropinirole Hydrochloride 5mg Tablet,"bottle, 100 each Ropinirole HCl 5mg, Oral tablet",Marlex Pharmaceuticals,10135-0679-01,NDC,1404,1274,740,AB,Generic,aNDA,Rx,On,,No,No,NA,,"Anti-Parkinson drugs, Dopamine Agonists (Oral)",100,(2396) Ropinirole Hydrochloride,1/28/2019 0:00,1/28/2019,26.99,,0.2699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin B-12 500mcg Tablet,"box, 5 unit dose blister card 10 each Dietary Item","Major Pharmaceuticals Inc, a Harvard Drug Group Company",10006-070164,UPC,4089,3234,2225,NA,Generic,Dietary Supp,OTC,On,,No,No,NA,,,50,,4/29/2019 0:00,4/29/2019,7.92,,0.1584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin E-200units Softgel,bottle 100 each Dietary Items,"Major Pharmaceuticals Inc, a Harvard Drug Group Company",10006-070043,UPC,14539,11801,7643,NA,Generic,Dietary Supp,OTC,On,,No,No,NA,,,100,,4/17/2019 0:00,4/17/2019,4.1,,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium Chloride 0.9% Solution for Injection,"bag, 100 ml Sodium Cl 0.9%, Solution for injection","Laboratorios Grifols, S.A.",76297-0001-22,NDC,1234,1126,654,AP,Generic,aNDA,Rx,On,,No,No,NA,,Sodium Chloride Solutions (Intravenous),100,(2096) Sodium Chloride,4/16/2019 0:00,4/16/2019,3.8,,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium Chloride 0.9% Solution for Injection,"bag, 250 ml Sodium Cl 0.9%, Solution for injection","Laboratorios Grifols, S.A.",76297-0001-32,NDC,1234,1126,654,AP,Generic,aNDA,Rx,On,,No,No,NA,,Sodium Chloride Solutions (Intravenous),250,(2096) Sodium Chloride,4/16/2019 0:00,4/16/2019,4.2,,0.0168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium Chloride 0.9% Solution for Injection,"bag, 1,000 ml Sodium Cl 0.9%, Solution for injection","Laboratorios Grifols, S.A.",76297-0001-41,NDC,1234,1126,654,AP,Generic,aNDA,Rx,On,,No,No,NA,,Sodium Chloride Solutions (Intravenous),1000,(2096) Sodium Chloride,4/16/2019 0:00,4/16/2019,5.9,,0.0059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium Chloride 0.9% Solution for Injection,"bag, 1,000 ml Sodium Cl 0.9%, Solution for injection","Laboratorios Grifols, S.A.",76297-0001-42,NDC,1234,1126,654,AP,Generic,aNDA,Rx,On,,No,No,NA,,Sodium Chloride Solutions (Intravenous),1000,(2096) Sodium Chloride,4/16/2019 0:00,4/16/2019,5.9,,0.0059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium Chloride 0.9% Solution for Injection,"bag, 250 ml Sodium Cl 0.9%, Solution for injection","Laboratorios Grifols, S.A.",76297-0001-31,NDC,1234,1126,654,AP,Generic,aNDA,Rx,On,,No,No,NA,,Sodium Chloride Solutions (Intravenous),250,(2096) Sodium Chloride,4/16/2019 0:00,4/16/2019,4.2,,0.0168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluticasone Propionate 50mcg/actuation Nasal Spray,"bottle, pump, 15.8 ml Fluticasone Prop 50mcg/1actuation, Nasal spray, suspension","Rugby Laboratories a Division of The Harvard Drug Group, LLC",00536-1183-65,NDC,22648,19218,12278,NR,Generic,aNDA,OTC,On,,No,No,NA,,Topical Nasal Corticosteroids (Nasal),15.8,(1268) Fluticasone Propionate,4/16/2019 0:00,4/16/2019,16.94,,1.07215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVENITY 105mg/1.17mL Pre-Filled Syringe Solution for Injection,"box, 1 pre-filled syringe with needle, 1.17 ml Romosozumab 105mg/1.17mL, Solution for injection",Amgen Inc,55513-0880-01,NDC,26789,21571,13632,NR,Brand,BLA,Rx,On,,No,No,NA,,Miscellaneous Agents Affecting Bone Structure and Mineralization (Subcutaneous),1.17,(6011) Romosozumab,4/16/2019 0:00,4/16/2019,912.5,,779.91453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamunex-C 10% 5g Solution for Injection,"box, 1 vials, 50 ml Imm Glob (Human) 10%, Solution for injection","Grifols USA, LLC",13533-0800-20,NDC,5710,4349,3127,NR,Brand,BLA,Rx,On,,No,No,NA,,"Immunoglobulins, Normal Human (Intravenous); Immunoglobulins, Normal Human (Subcutaneous)",50,(1292) Immune Globulin (Human),10/13/2010 0:00,4/1/2019,581.48,(+) 3.49,11.6296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamunex-C 10% 5g Solution for Injection,"vial, 50 ml Imm Glob (Human) 10%, Solution for injection","Grifols USA, LLC",13533-0800-21,NDC,5710,4349,3127,NR,Brand,BLA,Rx,On,,No,No,NA,,"Immunoglobulins, Normal Human (Intravenous); Immunoglobulins, Normal Human (Subcutaneous)",50,(1292) Immune Globulin (Human),10/13/2010 0:00,4/1/2019,581.48,(+) 3.49,11.6296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamunex-C 10% 20g Solution for Injection,"box, 1 vials, 200 ml Imm Glob (Human) 10%, Solution for injection","Grifols USA, LLC",13533-0800-24,NDC,5710,4349,3127,NR,Brand,BLA,Rx,On,,No,No,NA,,"Immunoglobulins, Normal Human (Intravenous); Immunoglobulins, Normal Human (Subcutaneous)",200,(1292) Immune Globulin (Human),10/13/2010 0:00,4/1/2019,2325.97,(+) 3.50,11.62985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamunex-C 10% 20g Solution for Injection,"vial, 200 ml Imm Glob (Human) 10%, Solution for injection","Grifols USA, LLC",13533-0800-25,NDC,5710,4349,3127,NR,Brand,BLA,Rx,On,,No,No,NA,,"Immunoglobulins, Normal Human (Intravenous); Immunoglobulins, Normal Human (Subcutaneous)",200,(1292) Immune Globulin (Human),10/13/2010 0:00,4/1/2019,2325.97,(+) 3.50,11.62985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamunex-C 10% 10g Solution for Injection,"box, 1 vials, 100 ml Imm Glob (Human) 10%, Solution for injection","Grifols USA, LLC",13533-0800-71,NDC,5710,4349,3127,NR,Brand,BLA,Rx,On,,No,No,NA,,"Immunoglobulins, Normal Human (Intravenous); Immunoglobulins, Normal Human (Subcutaneous)",100,(1292) Immune Globulin (Human),10/13/2010 0:00,4/1/2019,1162.99,(+) 3.50,11.6299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamunex-C 10% 10g Solution for Injection,"vial, 100 ml Imm Glob (Human) 10%, Solution for injection","Grifols USA, LLC",13533-0800-72,NDC,5710,4349,3127,NR,Brand,BLA,Rx,On,,No,No,NA,,"Immunoglobulins, Normal Human (Intravenous); Immunoglobulins, Normal Human (Subcutaneous)",100,(1292) Immune Globulin (Human),10/13/2010 0:00,4/1/2019,1162.99,(+) 3.50,11.6299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamunex-C 10% 40g Solution for Injection,"box, 1 vials, 400 ml Imm Glob (Human) 10%, Solution for injection","Grifols USA, LLC",13533-0800-40,NDC,5710,4349,3127,NR,Brand,BLA,Rx,On,,No,No,NA,,"Immunoglobulins, Normal Human (Intravenous); Immunoglobulins, Normal Human (Subcutaneous)",400,(1292) Immune Globulin (Human),10/1/2014 0:00,4/1/2019,4651.92,(+) 3.49,11.6298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamunex-C 10% 40g Solution for Injection,"vial, 400 ml Imm Glob (Human) 10%, Solution for injection","Grifols USA, LLC",13533-0800-41,NDC,5710,4349,3127,NR,Brand,BLA,Rx,On,,No,No,NA,,"Immunoglobulins, Normal Human (Intravenous); Immunoglobulins, Normal Human (Subcutaneous)",400,(1292) Immune Globulin (Human),10/1/2014 0:00,4/1/2019,4651.92,(+) 3.50,11.6298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methocarbamol 500mg Tablet,"bottle, 100 each Methocarbamol 500mg, Oral tablet","Golden State Medical Supply, Inc.",60429-0118-01,NDC,238,223,140,AA,Generic,aNDA,Rx,On,,No,No,NA,,"Muscle Relaxants, Centrally Acting, Plain (Oral)",100,(1352) Methocarbamol,2/20/2014 0:00,3/15/2019,6.71,(+) 16.69,0.0671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methocarbamol 500mg Tablet,"bottle, 500 each Methocarbamol 500mg, Oral tablet","Golden State Medical Supply, Inc.",60429-0118-05,NDC,238,223,140,AA,Generic,aNDA,Rx,On,,No,No,NA,,"Muscle Relaxants, Centrally Acting, Plain (Oral)",500,(1352) Methocarbamol,2/20/2014 0:00,3/15/2019,32.31,(+) 12.46,0.06462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methocarbamol 750mg Tablet,"bottle, 100 each Methocarbamol 750mg, Oral tablet","Golden State Medical Supply, Inc.",60429-0119-01,NDC,239,224,140,AA,Generic,aNDA,Rx,On,,No,No,NA,,"Muscle Relaxants, Centrally Acting, Plain (Oral)",100,(1352) Methocarbamol,2/20/2014 0:00,3/15/2019,9.18,(+) 51.73,0.0918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methocarbamol 750mg Tablet,"bottle, 500 each Methocarbamol 750mg, Oral tablet","Golden State Medical Supply, Inc.",60429-0119-05,NDC,239,224,140,AA,Generic,aNDA,Rx,On,,No,No,NA,,"Muscle Relaxants, Centrally Acting, Plain (Oral)",500,(1352) Methocarbamol,2/20/2014 0:00,3/15/2019,44.83,(+) 53.79,0.08966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simplist Midazolam Hydrochloride 10mg/2mL Preservative Free Solution for Injection,"box, 24 pre-filled syringes, 2 ml Midazolam HCl 5mg/1mL, Solution for injection","BD Rx Inc., a  Fresenius Kabi USA Company",76045-0003-20,NDC,4842,3768,2636,AP,Generic,aNDA,Rx,On,,No,No,schedule IV,,"Anxiolytics, Benzodiazepines (Intramuscular); Anxiolytics, Benzodiazepines (Intravenous); Benzodiazepine Sedative/Hypnotics (Intramuscular); Benzodiazepine Sedative/Hypnotics (Intravenous); Other General Anesthetics (Intramuscular); Other General Anesthetics (Intravenous)",48,(1394) Midazolam Hydrochloride,10/1/2014 0:00,4/26/2019,91.44,(+) 44.31,1.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adynovate 250units Powder for Injection,"box, 1 Microinjection system, 1 each Antihemophilic Factor (Recombinant), PEGylated, Lyophilisate for solution for injection and 2 ml Sterile Water for Injection","Baxalta Inc, a Shire Company",00944-4622-01,NDC,24709,20538,13100,NR,Brand,BLA,Rx,On,,No,No,NA,,Blood Coagulation Factors (Intravenous),1,"(5706) Antihemophilic Factor (Recombinant), PEGylated",10/10/2016 0:00,1/1/2019,2.1,(+) 3.96,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adynovate 250units Powder for Injection,"blister pack, 1 Microinjection system, 1 each Antihemophilic Factor (Recombinant), PEGylated, Lyophilisate for solution for injection and 2 ml Sterile Water for Injection","Baxalta Inc, a Shire Company",00944-4622-02,NDC,24709,20538,13100,NR,Brand,BLA,Rx,On,,No,No,NA,,Blood Coagulation Factors (Intravenous),1,"(5706) Antihemophilic Factor (Recombinant), PEGylated",10/10/2016 0:00,1/1/2019,2.1,(+) 3.96,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adynovate 250units Powder for Injection,"Microinjection System, 1 each Antihemophilic Factor (Recombinant), PEGylated, Lyophilisate for solution for injection and 2 ml Sterile Water for Injection","Baxalta Inc, a Shire Company",00944-4622-03,NDC,24709,20538,13100,NR,Brand,BLA,Rx,On,,No,No,NA,,Blood Coagulation Factors (Intravenous),1,"(5706) Antihemophilic Factor (Recombinant), PEGylated",10/10/2016 0:00,1/1/2019,2.1,(+) 3.96,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adynovate 500units Powder for Injection,"box, 1 Microinjection system, 1 each Antihemophilic Factor (Recombinant), PEGylated, Lyophilisate for solution for injection and 2 ml Sterile Water for Injection","Baxalta Inc, a Shire Company",00944-4623-01,NDC,24709,20538,13100,NR,Brand,BLA,Rx,On,,No,No,NA,,Blood Coagulation Factors (Intravenous),1,"(5706) Antihemophilic Factor (Recombinant), PEGylated",10/10/2016 0:00,1/1/2019,2.1,(+) 3.96,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dexamethasone Sodium Phosphate 10mg/ml Solution for Injection,"box, 10 vials, 10 ml Dexamethasone Sod PO4 10mg/1mL, Solution for injection","Fresenius Kabi USA, LLC",63323-0516-10,NDC,3715,2984,2010,AP,Generic,aNDA,Rx,On,,No,No,NA,,"Systemic Corticosteroids, Plain (Intramuscular); Systemic Corticosteroids, Plain (Intravenous)",100,(1017) Dexamethasone Sodium Phosphate,9/21/2005 0:00,12/28/2018,118,(+) 8.95,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicks BabyRub Soothing Vapor Ointment,"jar, 50 grams Aloe Vera/Barbadensis Deriv, Eucalyptus oil, Lavandula Angustifolia, Rosemary oil, White Petrolatum",Procter & Gamble Personal Health Care,23900-0006-17,NDC,9753,7437,5323,NA,Brand,N/A,OTC,On,,No,No,NA,,Chest Rubs and Other Inhalants (Topical),50,(67) Aloe Vera/Aloe Barbadensis Derivatives; (1777) Lavandula Angustifolia; (2629) White Petrolatum Base; (2758) Eucalyptus oil; (2933) Rosemary oil,8/30/2005 0:00,7/9/2018,3.79,(+) 7.06,0.0758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zyprexa 10mg Tablet,"bottle, 30 each Olanzapine 10mg, Oral tablet",Eli Lilly and Co,00002-4117-30,NDC,1330,1212,707,AB,Brand,NDA,Rx,On,,No,No,NA,,Antidepressant Augmentation Drugs (Oral); Multi-Acting Receptor-Targeted Antipsychotics (MARTA) (Oral),30,(758) Olanzapine,9/12/2005 0:00,2/19/2019,632.4,(+) 3.99,21.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zyprexa 2.5mg Tablet,"bottle, 30 each Olanzapine 2.5mg, Oral tablet",Eli Lilly and Co,00002-4112-30,NDC,9979,7648,707,AB,Brand,NDA,Rx,On,,No,No,NA,,Antidepressant Augmentation Drugs (Oral); Multi-Acting Receptor-Targeted Antipsychotics (MARTA) (Oral),30,(758) Olanzapine,9/12/2005 0:00,2/19/2019,355.5,(+) 3.99,11.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zyprexa 20mg Tablet,"bottle, 30 each Olanzapine 20mg, Oral tablet",Eli Lilly and Co,00002-4420-30,NDC,1647,1480,707,AB,Brand,NDA,Rx,On,,No,No,NA,,Antidepressant Augmentation Drugs (Oral); Multi-Acting Receptor-Targeted Antipsychotics (MARTA) (Oral),30,(758) Olanzapine,9/12/2005 0:00,2/19/2019,1264.8,(+) 3.99,42.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zyprexa 5mg Tablet,"bottle, 30 each Olanzapine 5mg, Oral tablet",Eli Lilly and Co,00002-4115-30,NDC,1332,1214,707,AB,Brand,NDA,Rx,On,,No,No,NA,,Antidepressant Augmentation Drugs (Oral); Multi-Acting Receptor-Targeted Antipsychotics (MARTA) (Oral),30,(758) Olanzapine,9/12/2005 0:00,2/19/2019,419.7,(+) 4.01,13.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zyprexa 7.5mg Tablet,"bottle, 30 each Olanzapine 7.5mg, Oral tablet",Eli Lilly and Co,00002-4116-30,NDC,1331,1213,707,AB,Brand,NDA,Rx,On,,No,No,NA,,Antidepressant Augmentation Drugs (Oral); Multi-Acting Receptor-Targeted Antipsychotics (MARTA) (Oral),30,(758) Olanzapine,9/12/2005 0:00,2/19/2019,510.6,(+) 3.98,17.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicks VapoRub,"jar, 50 grams Camphor 4.8%, Eucalyptus oil 1.2%, Menthol 2.6%, Topical ointment",Procter & Gamble Personal Health Care,23900-0003-61,NDC,16201,13239,5322,NA,Brand,N/A,OTC,On,,No,No,NA,,Chest Rubs and Other Inhalants (Topical),50,(390) Camphor; (1937) Menthol; (2758) Eucalyptus oil,9/1/2005 0:00,7/9/2018,3.79,(+) 7.06,0.0758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambien CR 6.25mg Extended-Release Tablet,"bottle, 100 each Zolpidem Tartrate 6.25mg, Oral tablet, biphasic release",Sanofi U.S. LLC,00024-5501-31,NDC,10036,7702,5465,AB,Brand,NDA,Rx,On,,No,No,schedule IV,,"Non-Benzodiazepine, Benzodiazepine Receptor Agonists (NBRA)s (Oral)",100,(2671) Zolpidem Tartrate,9/19/2005 0:00,5/3/2019,1764.16,(+) 4.79,17.6416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcaine 0.25% Solution for Injection,"box, 10 vials, 30 ml Bupivacaine HCl 0.25%, Solution for injection","Hospira Worldwide, Inc., a Pfizer Company",00409-1559-30,NDC,916,838,486,AP,Brand,NDA,Rx,On,,No,No,NA,,Amide Local Anesthetics (Epidural); Amide Local Anesthetics (Infiltration),300,(316) Bupivacaine Hydrochloride,9/8/2005 0:00,7/16/2018,37.98,(-) 8.63,0.1266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claravis 10mg Capsule,"box, 3 Single item blister pack, 10 each Isotretinoin 10mg, Oral capsule",Teva Pharmaceuticals USA,00555-1054-86,NDC,680,619,378,AB,Generic,aNDA,Rx,On,,No,No,NA,,Oral Anti-Acne Retinoids (Oral),30,(1617) Isotretinoin,9/8/2005 0:00,9/11/2018,361.97,(-) 25.00,12.06566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claravis 10mg Capsule,"box, 10 Single item blister pack, 10 each Isotretinoin 10mg, Oral capsule",Teva Pharmaceuticals USA,00555-1054-56,NDC,680,619,378,AB,Generic,aNDA,Rx,On,,No,No,NA,,Oral Anti-Acne Retinoids (Oral),100,(1617) Isotretinoin,9/8/2005 0:00,9/11/2018,1182.89,(-) 25.00,11.8289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meropenem 500mg Powder and Sodium Chloride 0.9% for Injection (Duplex),"container, 1 each Meropenem 500mg, Powder for solution for injection and 50 ml Sodium Chloride 0.9%, for Injection",B Braun Medical Inc,00264-3183-11,NDC,23318,4402,3158,NR,Brand,NDA,Rx,On,,No,No,NA,,Carbapenems (Intravenous),1,(1948) Meropenem,9/15/2015 0:00,1/1/2019,16.69,(+) 2.51,16.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meropenem 1g Powder and Sodium Chloride 0.9% for Injection (Duplex),"container, 1 each Meropenem 1g, Powder for solution for injection and 50 ml Sodium Chloride 0.9%, for Injection",B Braun Medical Inc,00264-3185-11,NDC,23319,4401,3158,NR,Brand,NDA,Rx,On,,No,No,NA,,Carbapenems (Intravenous),1,(1948) Meropenem,9/15/2015 0:00,1/1/2019,22.44,(+) 2.00,22.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemmorex-HC 25mg Rectal Suppository,"box, 1 suppository strips, 12 each Hydrocortisone Acetate 25mg, Rectal suppository","Laser, LLC Pharmaceuticals",16477-0201-12,NDC,4330,3391,104,NA,Brand,Unapproved Drug,Rx,On,,No,No,NA,,Topical Anti-hemorrhoidals with Corticosteroids (Rectal),12,(1571) Hydrocortisone Acetate,10/12/2015 0:00,8/24/2018,60,(-) 54.88,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemmorex-HC 25mg Rectal Suppository,"box, 1 suppository strips, 24 each Hydrocortisone Acetate 25mg, Rectal suppository","Laser, LLC Pharmaceuticals",16477-0201-24,NDC,4330,3391,104,NA,Brand,Unapproved Drug,Rx,On,,No,No,NA,,Topical Anti-hemorrhoidals with Corticosteroids (Rectal),24,(1571) Hydrocortisone Acetate,10/12/2015 0:00,8/24/2018,100,(-) 61.67,4.16667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fanapt 8mg Tablet,"bottle, 60 each iloperidone 8mg, Oral tablet",Vanda Pharmaceuticals Inc.,43068-0108-02,NDC,16935,13877,8749,AB,Brand,NDA,Rx,On,,No,No,NA,,Serotonin-Dopamine Antagonist (SDA) Antipsychotics (Oral),60,(3907) Iloperidone,11/11/2015 0:00,1/1/2019,1448.34,(+) 7.99,24.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aristada 441mg/1.6mL  Extended-Release Suspension for Injection,"box, 1 pre-filled syringe, 1.6 ml Aripiprazole lauroxil 441mg/1.6mL, Suspension for injection, Extended Release and 1 each 20 gauge, 1.5 inch needle with safety device, 1 each 20 gauge, 2 inch needle with safety device, 1 each 21 gauge, 1 inch needle with safety device",Alkermes Inc,65757-0401-03,NDC,26042,21305,13490,NR,Brand,NDA,Rx,On,,No,No,NA,,Partial Dopamine Receptor Agonist Antipsychotics (Intramuscular),1.6,(5502) Aripiprazole lauroxil,10/19/2015 0:00,2/22/2019,1294.73,(+) 5.99,809.20625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restasis 0.05% Ophthalmic Emulsion,"tray, 30 vials, 1 each Cyclosporine 0.05%, Ophthalmic drops, emulsion","Allergan USA, Inc.",00023-9163-30,NDC,16431,13442,8516,NR,Brand,NDA,Rx,On,,No,No,NA,,Miscellaneous Ophthalmologicals for Dry Eye Disease (Ophthalmic),30,(948) Cyclosporine,6/14/2008 0:00,1/1/2019,278.85,(+) 9.49,9.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lexiscan 0.4mg/5ml Solution for Injection,"syringe, 5 ml Regadenoson 0.08mg/1mL, Solution for injection","Astellas Pharma US, Inc.",00469-6501-89,NDC,15705,12834,8160,NR,Brand,NDA,Rx,On,,No,No,NA,,Other Cardiovascular Products (Intravenous),5,(3770) Regadenoson,5/28/2008 0:00,7/10/2018,242.96,(+) 2.50,48.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tegretol 200mg Tablet,"bottle, 100 each Carbamazepine 200mg, Oral tablet",Novartis Pharmaceuticals Corporation,00078-0509-05,NDC,980,896,516,AB,Brand,NDA,Rx,On,,No,No,NA,,Carboxamide Anticonvulsants (Oral),100,(404) Carbamazepine,6/19/2008 0:00,1/15/2019,253.38,(+) 5.99,2.5338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tegretol-XR 100mg Extended-Release Tablet,"bottle, 100 each Carbamazepine 100mg, Oral tablet, extended release",Novartis Pharmaceuticals Corporation,00078-0510-05,NDC,12500,10078,6684,AB,Brand,NDA,Rx,On,,No,No,NA,,Carboxamide Anticonvulsants (Oral),100,(404) Carbamazepine,6/19/2008 0:00,1/15/2019,135.63,(+) 6.00,1.3563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tegretol-XR 200mg Extended-Release Tablet,"bottle, 100 each Carbamazepine 200mg, Oral tablet, extended release",Novartis Pharmaceuticals Corporation,00078-0511-05,NDC,12501,10079,6684,AB,Brand,NDA,Rx,On,,No,No,NA,,Carboxamide Anticonvulsants (Oral),100,(404) Carbamazepine,6/19/2008 0:00,1/15/2019,270.7,(+) 5.99,2.707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tegretol-XR 400mg Extended-Release Tablet,"bottle, 100 each Carbamazepine 400mg, Oral tablet, extended release",Novartis Pharmaceuticals Corporation,00078-0512-05,NDC,12502,10080,6684,AB,Brand,NDA,Rx,On,,No,No,NA,,Carboxamide Anticonvulsants (Oral),100,(404) Carbamazepine,6/19/2008 0:00,1/15/2019,540.98,(+) 5.99,5.4098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium Chloride 0.9% Solution for Injection,"bag, 50 ml Sodium Cl 0.9%, Solution for injection",B Braun Medical Inc,00264-1800-31,NDC,1234,1126,654,AP,Generic,NDA,Rx,On,,No,No,NA,,Sodium Chloride Solutions (Intravenous),50,(2096) Sodium Chloride,1/27/2005 0:00,7/1/2019,1.89,(+) 28.57,0.0378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium Chloride 0.9% Solution for Injection,"bag, 100 ml Sodium Cl 0.9%, Solution for injection",B Braun Medical Inc,00264-1800-32,NDC,1234,1126,654,AP,Generic,NDA,Rx,On,,No,No,NA,,Sodium Chloride Solutions (Intravenous),100,(2096) Sodium Chloride,1/27/2005 0:00,7/1/2019,1.89,(+) 26.00,0.0189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium Chloride 0.9% Solution for Injection,"bag, 25 ml Sodium Cl 0.9%, Solution for injection",B Braun Medical Inc,00264-1800-36,NDC,1234,1126,654,AP,Generic,NDA,Rx,On,,No,No,NA,,Sodium Chloride Solutions (Intravenous),25,(2096) Sodium Chloride,1/27/2005 0:00,1/1/2019,1.62,(+) 10.95,0.0648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium Chloride 0.45% Solution for Injection,"container, 500 ml Sodium Cl 0.45%, Solution for injection",B Braun Medical Inc,00264-7802-10,NDC,5015,3882,654,AP,Generic,NDA,Rx,On,,No,No,NA,,Sodium Chloride Solutions (Intravenous),500,(2096) Sodium Chloride,1/27/2005 0:00,1/1/2019,2.25,(+) 12.50,0.0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
