"ProductNameLong","Description","CompanyName","PackageIdentifier","TypeName","SpecificProductID","SpecificDrugProductID","GenericDrugProductID","EquivalenceCodes","BrandGenericStatus","LicenseTypeName","LegendStatus","MarketStatus","OffMarketDate","Repackaged","PrivateLabel","DEAClassification","ReplacedByPackageID","MarketClasses","PackageSize","Ingredients","OnMarketDate","WACBeginDate","WACPrice","WACPriceChange","WACUnitPrice"
"Testosterone Cypionate 2000mg/10mL in Oil for Injection","vial, 10 ml Testosterone Cyp 200mg/1mL, Oil for injection","Cipla USA, Inc","69097-0802-37","NDC",8487,6387,4590,"AO","Generic","aNDA","Rx","On",,"No","No","schedule III",,"Androgens (Intramuscular)",10.0000,"(2576) Testosterone Cypionate","2019-03-21 00:00:00","2019-03-21","81.11",,"8.11100"
"Erythromycin Ethylsuccinate 400mg/5mL Granules for Suspension","bottle, 100 ml Erythromycin Ethylsuccinate 400mg/5mL, Granules for oral suspension","Wilshire Pharmaceuticals, Inc.","52536-0130-13","NDC",12201,9792,3343,"AB","Generic","AG","Rx","On",,"No","No","NA",,"Macrolide Antibiotics (Oral)",100.0000,"(1263) Erythromycin Ethylsuccinate","2019-03-21 00:00:00","2019-03-21","571.00",,"5.71000"
"Nabumetone 500mg Tablet","bottle, 100 each Nabumetone 500mg, Oral tablet","Cipla USA, Inc","69097-0965-07","NDC",797,730,431,"AB","Generic","aNDA","Rx","On",,"No","No","NA",,"Nonsteroidal Antiinflammatory Drugs/NSAIDs (Oral)",100.0000,"(1996) Nabumetone","2019-03-21 00:00:00","2019-03-21","46.36",,"0.46360"
"Nabumetone 500mg Tablet","bottle, 500 each Nabumetone 500mg, Oral tablet","Cipla USA, Inc","69097-0965-12","NDC",797,730,431,"AB","Generic","aNDA","Rx","On",,"No","No","NA",,"Nonsteroidal Antiinflammatory Drugs/NSAIDs (Oral)",500.0000,"(1996) Nabumetone","2019-03-21 00:00:00","2019-03-21","227.57",,"0.45514"
"Nabumetone 750mg Tablet","bottle, 100 each Nabumetone 750mg, Oral tablet","Cipla USA, Inc","69097-0966-07","NDC",1196,1094,431,"AB","Generic","aNDA","Rx","On",,"No","No","NA",,"Nonsteroidal Antiinflammatory Drugs/NSAIDs (Oral)",100.0000,"(1996) Nabumetone","2019-03-21 00:00:00","2019-03-21","52.16",,"0.52160"
"Nabumetone 750mg Tablet","bottle, 500 each Nabumetone 750mg, Oral tablet","Cipla USA, Inc","69097-0966-12","NDC",1196,1094,431,"AB","Generic","aNDA","Rx","On",,"No","No","NA",,"Nonsteroidal Antiinflammatory Drugs/NSAIDs (Oral)",500.0000,"(1996) Nabumetone","2019-03-21 00:00:00","2019-03-21","256.40",,"0.51280"
"Desmopressin Acetate 10mcg/0.1mL (0.01%) Nasal Spray","bottle, pump, 5 ml Desmopressin Acetate 0.1mg/1mL, Nasal spray, solution","Zydus Pharmaceuticals (USA) Inc.","68382-0384-01","NDC",22753,19313,1586,"AB","Generic","aNDA","Rx","On",,"No","No","NA",,"Antidiuretic Hormones (Nasal); Vasopressin (ADH) and Analogs (Nasal)",5.0000,"(1009) Desmopressin Acetate","2019-03-25 00:00:00","2019-03-25","179.53",,"35.90600"
"Methylphenidate Hydrochloride 18mg Extended-Release Tablet","bottle, 100 each Methylphenidate HCl 18mg, Oral tablet, extended release","ANI Pharmaceuticals, Inc.","62559-0790-01","NDC",1633,1466,94,"AB","Generic","aNDA","Rx","On",,"No","No","schedule II",,"Psychostimulants, Methylphenidate Derivatives (Oral)",100.0000,"(1369) Methylphenidate Hydrochloride","2019-03-25 00:00:00","2019-03-25","428.15",,"4.28150"
"Methylphenidate Hydrochloride 27mg Extended-Release Tablet","bottle, 100 each Methylphenidate HCl 27mg, Oral tablet, extended release","ANI Pharmaceuticals, Inc.","62559-0791-01","NDC",156,146,94,"AB","Generic","aNDA","Rx","On",,"No","No","schedule II",,"Psychostimulants, Methylphenidate Derivatives (Oral)",100.0000,"(1369) Methylphenidate Hydrochloride","2019-03-25 00:00:00","2019-03-25","438.87",,"4.38870"
"Belladonna/Opium 16.2mg-30mg Rectal Suppository","box, 1 suppository strips, 4 each Belladonna Extr 16.2mg, Opium, Powdered 30mg, Rectal suppository","Paddock Laboratories Inc, a Perrigo Family","00574-7045-04","NDC",5699,4343,3120,"NA","Generic","Unapproved Drug","Rx","On",,"No","No","schedule II",,"Opioid Agonists and Other Drug Combinations (Rectal)",4.0000,"(229) Belladonna Extract; (779) Opium, Powdered","2019-03-22 00:00:00","2019-03-22","137.59",,"34.39750"
"Belladonna/Opium 16.2mg-60mg Rectal Suppository","box, 1 suppository strips, 4 each Belladonna Extr 16.2mg, Opium, Powdered 60mg, Rectal suppository","Paddock Laboratories Inc, a Perrigo Family","00574-7040-04","NDC",5700,4344,3120,"NA","Generic","Unapproved Drug","Rx","On",,"No","No","schedule II",,"Opioid Agonists and Other Drug Combinations (Rectal)",4.0000,"(229) Belladonna Extract; (779) Opium, Powdered","2019-03-22 00:00:00","2019-03-22","167.26",,"41.81500"
"Levothyroxine Sodium 150mcg Tablet","bottle, 100 each Levothyroxine Sod 150mcg, Oral tablet","Lupin Pharmaceuticals, Inc.","68180-0973-01","NDC",11259,8891,652,"AB2","Generic","aNDA","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",100.0000,"(1811) Levothyroxine Sodium","2019-03-21 00:00:00","2019-03-21","56.50",,"0.56500"
"Levothyroxine Sodium 150mcg Tablet","bottle, 1,000 each Levothyroxine Sod 150mcg, Oral tablet","Lupin Pharmaceuticals, Inc.","68180-0973-03","NDC",11259,8891,652,"AB2","Generic","aNDA","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",1000.0000,"(1811) Levothyroxine Sodium","2019-03-21 00:00:00","2019-03-21","564.93",,"0.56493"
"Levothyroxine Sodium 175mcg Tablet","bottle, 100 each Levothyroxine Sod 175mcg, Oral tablet","Lupin Pharmaceuticals, Inc.","68180-0974-01","NDC",11260,8892,652,"AB2","Generic","aNDA","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",100.0000,"(1811) Levothyroxine Sodium","2019-03-21 00:00:00","2019-03-21","67.15",,"0.67150"
"Levothyroxine Sodium 175mcg Tablet","bottle, 1,000 each Levothyroxine Sod 175mcg, Oral tablet","Lupin Pharmaceuticals, Inc.","68180-0974-03","NDC",11260,8892,652,"AB2","Generic","aNDA","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",1000.0000,"(1811) Levothyroxine Sodium","2019-03-21 00:00:00","2019-03-21","671.49",,"0.67149"
"Levothyroxine Sodium 200mcg Tablet","bottle, 100 each Levothyroxine Sod 200mcg, Oral tablet","Lupin Pharmaceuticals, Inc.","68180-0975-01","NDC",11261,8893,652,"AB2","Generic","aNDA","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",100.0000,"(1811) Levothyroxine Sodium","2019-03-21 00:00:00","2019-03-21","67.28",,"0.67280"
"Levothyroxine Sodium 200mcg Tablet","bottle, 1,000 each Levothyroxine Sod 200mcg, Oral tablet","Lupin Pharmaceuticals, Inc.","68180-0975-03","NDC",11261,8893,652,"AB2","Generic","aNDA","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",1000.0000,"(1811) Levothyroxine Sodium","2019-03-21 00:00:00","2019-03-21","672.84",,"0.67284"
"Levothyroxine Sodium 100mcg Tablet","bottle, 100 each Levothyroxine Sod 100mcg, Oral tablet","Lupin Pharmaceuticals, Inc.","68180-0969-01","NDC",11256,8888,652,"AB2","Generic","aNDA","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",100.0000,"(1811) Levothyroxine Sodium","2019-03-21 00:00:00","2019-03-21","46.82",,"0.46820"
"Levothyroxine Sodium 100mcg Tablet","bottle, 1,000 each Levothyroxine Sod 100mcg, Oral tablet","Lupin Pharmaceuticals, Inc.","68180-0969-03","NDC",11256,8888,652,"AB2","Generic","aNDA","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",1000.0000,"(1811) Levothyroxine Sodium","2019-03-21 00:00:00","2019-03-21","468.21",,"0.46821"
"Methadone Hydrochloride 5mg Tablet","bottle, 100 each Methadone HCl 5mg, Oral tablet","Epic Pharma LLC","42806-0317-01","NDC",650,594,319,"AA","Generic","aNDA","Rx","On",,"No","No","schedule II",,"Opioid Agonists (Oral); Agents for Opioid Dependence (Oral); Agents for Opioid Withdrawal (Oral)",100.0000,"(1344) Methadone Hydrochloride","2018-08-01 00:00:00","2018-08-01","20.18",,"0.20180"
"Levothyroxine Sodium 112mcg Tablet","bottle, 100 each Levothyroxine Sod 112mcg, Oral tablet","Lupin Pharmaceuticals, Inc.","68180-0970-01","NDC",11257,8889,652,"AB2","Generic","aNDA","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",100.0000,"(1811) Levothyroxine Sodium","2019-03-21 00:00:00","2019-03-21","54.14",,"0.54140"
"Levothyroxine Sodium 112mcg Tablet","bottle, 1,000 each Levothyroxine Sod 112mcg, Oral tablet","Lupin Pharmaceuticals, Inc.","68180-0970-03","NDC",11257,8889,652,"AB2","Generic","aNDA","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",1000.0000,"(1811) Levothyroxine Sodium","2019-03-21 00:00:00","2019-03-21","541.42",,"0.54142"
"Methadone Hydrochloride 10mg Tablet","bottle, 100 each Methadone HCl 10mg, Oral tablet","Epic Pharma LLC","42806-0318-01","NDC",881,804,319,"AA","Generic","aNDA","Rx","On",,"No","No","schedule II",,"Opioid Agonists (Oral); Agents for Opioid Dependence (Oral); Agents for Opioid Withdrawal (Oral)",100.0000,"(1344) Methadone Hydrochloride","2018-08-01 00:00:00","2018-08-01","34.37",,"0.34370"
"Levothyroxine Sodium 125mcg Tablet","bottle, 100 each Levothyroxine Sod 125mcg, Oral tablet","Lupin Pharmaceuticals, Inc.","68180-0971-01","NDC",11258,8890,652,"AB2","Generic","aNDA","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",100.0000,"(1811) Levothyroxine Sodium","2019-03-21 00:00:00","2019-03-21","54.89",,"0.54890"
"Levothyroxine Sodium 125mcg Tablet","bottle, 1,000 each Levothyroxine Sod 125mcg, Oral tablet","Lupin Pharmaceuticals, Inc.","68180-0971-03","NDC",11258,8890,652,"AB2","Generic","aNDA","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",1000.0000,"(1811) Levothyroxine Sodium","2019-03-21 00:00:00","2019-03-21","548.93",,"0.54893"
"Levothyroxine Sodium 137mcg Tablet","bottle, 100 each Levothyroxine Sod 137mcg, Oral tablet","Lupin Pharmaceuticals, Inc.","68180-0972-01","NDC",11269,8901,652,"AB2","Generic","aNDA","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",100.0000,"(1811) Levothyroxine Sodium","2019-03-21 00:00:00","2019-03-21","55.65",,"0.55650"
"Levothyroxine Sodium 137mcg Tablet","bottle, 1,000 each Levothyroxine Sod 137mcg, Oral tablet","Lupin Pharmaceuticals, Inc.","68180-0972-03","NDC",11269,8901,652,"AB2","Generic","aNDA","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",1000.0000,"(1811) Levothyroxine Sodium","2019-03-21 00:00:00","2019-03-21","556.56",,"0.55656"
"Levothyroxine Sodium 50mcg Tablet","bottle, 1,000 each Levothyroxine Sod 50mcg, Oral tablet","Amneal Pharmaceuticals LLC","69238-1831-07","NDC",11266,8898,652,"AB1,AB2,AB3","Generic","AG","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",1000.0000,"(1811) Levothyroxine Sodium","2018-11-16 00:00:00","2018-11-16","413.33",,"0.41333"
"Levothyroxine Sodium 50mcg Tablet","bottle, 100 each Levothyroxine Sod 50mcg, Oral tablet","Amneal Pharmaceuticals LLC","69238-1831-01","NDC",11266,8898,652,"AB1,AB2,AB3","Generic","AG","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",100.0000,"(1811) Levothyroxine Sodium","2018-11-16 00:00:00","2018-11-16","41.33",,"0.41330"
"Levothyroxine Sodium 125mcg Tablet","bottle, 1,000 each Levothyroxine Sod 125mcg, Oral tablet","Amneal Pharmaceuticals LLC","69238-1836-07","NDC",11258,8890,652,"AB1,AB2,AB3","Generic","AG","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",1000.0000,"(1811) Levothyroxine Sodium","2018-11-16 00:00:00","2018-11-16","548.93",,"0.54893"
"Levothyroxine Sodium 75mcg Tablet","bottle, 100 each Levothyroxine Sod 75mcg, Oral tablet","Amneal Pharmaceuticals LLC","69238-1832-01","NDC",11267,8899,652,"AB1,AB2,AB3","Generic","AG","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",100.0000,"(1811) Levothyroxine Sodium","2018-11-16 00:00:00","2018-11-16","45.68",,"0.45680"
"Lidocaine/Prilocaine 2.5%-2.5% Topical Cream","tube, 30 grams Lidocaine 2.5%, Prilocaine 2.5%, Topical cream","Teligent, Inc.","52565-0007-30","NDC",1220,1112,644,"AB","Generic","aNDA","Rx","On",,"No","No","NA",,"Topical Local Anesthetics (Topical)",30.0000,"(1817) Lidocaine; (2543) Prilocaine","2018-11-19 00:00:00","2018-11-19","15.08",,"0.50267"
"Levothyroxine Sodium 150mcg Tablet","bottle, 100 each Levothyroxine Sod 150mcg, Oral tablet","Amneal Pharmaceuticals LLC","69238-1838-01","NDC",11259,8891,652,"AB1,AB2,AB3","Generic","AG","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",100.0000,"(1811) Levothyroxine Sodium","2018-11-16 00:00:00","2018-11-16","56.50",,"0.56500"
"Levothyroxine Sodium 150mcg Tablet","bottle, 1,000 each Levothyroxine Sod 150mcg, Oral tablet","Amneal Pharmaceuticals LLC","69238-1838-07","NDC",11259,8891,652,"AB1,AB2,AB3","Generic","AG","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",1000.0000,"(1811) Levothyroxine Sodium","2018-11-16 00:00:00","2018-11-16","564.93",,"0.56493"
"Levothyroxine Sodium 75mcg Tablet","bottle, 1,000 each Levothyroxine Sod 75mcg, Oral tablet","Amneal Pharmaceuticals LLC","69238-1832-07","NDC",11267,8899,652,"AB1,AB2,AB3","Generic","AG","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",1000.0000,"(1811) Levothyroxine Sodium","2018-11-16 00:00:00","2018-11-16","456.76",,"0.45676"
"Fiber Therapy Smooth Texture Powder for Suspension (Orange)","can, 368 grams Psyllium, Powder for oral suspension","Major Pharmaceuticals Inc, a Harvard Drug Group Company","10006-070171","UPC",26885,21592,4971,"NA","Generic","N/A","OTC","On",,"No","No","NA",,"Bulk Producers (Oral)",368.0000,"(2309) Psyllium","2019-05-24 00:00:00","2019-05-24","4.66",,"0.01266"
"Vitamin C-250mg Chewable Tablet","bottle 100 each Dietary Item","Major Pharmaceuticals Inc, a Harvard Drug Group Company","10006-070047","UPC",23992,,,"NA","Generic","Dietary Supp","OTC","On",,"No","No","NA",,"",100.0000,"","2019-05-24 00:00:00","2019-05-24","2.31",,"0.02310"
"Phenaseptic Throat 1.4% Spray (Cherry)","bottle, spray, 177 ml Phenol 1.4%, Oromucosal spray","Rugby Laboratories a Division of The Harvard Drug Group, LLC ","00536-1228-58","NDC",10979,8623,5912,"NA","Generic","OTC Tent","OTC","On",,"No","No","NA",,"Throat Preparations (Oropharyngeal)",177.0000,"(2181) Phenol","2019-05-24 00:00:00","2019-05-24","2.50",,"0.01412"
"Rosuvastatin Calcium 5mg Tablet","bottle, 90 each Rosuvastatin Ca 5mg, Oral tablet","Novadoz Pharmaceuticals LLC","72205-0027-90","NDC",183,172,56,"AB","Generic","aNDA","Rx","On",,"No","No","NA",,"HMG-CoA Reductase Inhibitors/Statins (Oral)",90.0000,"(2403) Rosuvastatin Calcium","2019-05-24 00:00:00","2019-05-24","17.00",,"0.18889"
"Rosuvastatin Calcium 5mg Tablet","bottle, 1,000 each Rosuvastatin Ca 5mg, Oral tablet","Novadoz Pharmaceuticals LLC","72205-0027-99","NDC",183,172,56,"AB","Generic","aNDA","Rx","On",,"No","No","NA",,"HMG-CoA Reductase Inhibitors/Statins (Oral)",1000.0000,"(2403) Rosuvastatin Calcium","2019-05-24 00:00:00","2019-05-24","149.22",,"0.14922"
"Ropivacaine Hydrochloride 200mg/20mL Solution for Injection","vial, 20 ml Ropivacaine HCl Mono 1%, Solution for injection","Mylan Institutional LLC ","67457-0877-00","NDC",5581,4264,3049,"AP","Generic","aNDA","Rx","On",,"No","No","NA",,"Amide Local Anesthetics (Epidural)",20.0000,"(2397) Ropivacaine Hydrochloride Monohydrate","2019-05-23 00:00:00","2019-05-23","22.00",,"1.10000"
"Ropivacaine Hydrochloride 150mg/30mL Solution for Injection","vial, 30 ml Ropivacaine HCl Mono 0.5%, Solution for injection","Mylan Institutional LLC ","67457-0876-30","NDC",5579,4262,3049,"AP","Generic","aNDA","Rx","On",,"No","No","NA",,"Amide Local Anesthetics (Epidural); Amide Local Anesthetics (Infiltration)",30.0000,"(2397) Ropivacaine Hydrochloride Monohydrate","2019-05-23 00:00:00","2019-05-23","26.00",,"0.86667"
"Ropivacaine Hydrochloride 150mg/30mL Solution for Injection","box, 5 vials, 30 ml Ropivacaine HCl Mono 0.5%, Solution for injection","Mylan Institutional LLC ","67457-0876-99","NDC",5579,4262,3049,"AP","Generic","aNDA","Rx","On",,"No","No","NA",,"Amide Local Anesthetics (Epidural); Amide Local Anesthetics (Infiltration)",150.0000,"(2397) Ropivacaine Hydrochloride Monohydrate","2019-05-23 00:00:00","2019-05-23","130.00",,"0.86667"
"PediaSure Peptide 1 Cal Therapeutic Nutrition (Strawberry)","bottle 237 ml Liquid Nutrition","Abbott Nutrition","70074-067411","UPC",26952,,,"NA","Brand","N/A","OTC","On",,"No","No","NA",,"",237.0000,"","2019-05-01 00:00:00","2019-05-01","5.99",,"0.02527"
"Levothyroxine Sodium 100mcg Tablet","bottle, 1,000 each Levothyroxine Sod 100mcg, Oral tablet","Alvogen, Inc.","47781-0651-10","NDC",11256,8888,652,"AB2,AB4","Generic","NDA","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",1000.0000,"(1811) Levothyroxine Sodium","2019-05-28 00:00:00","2019-05-28","468.21",,"0.46821"
"Levothyroxine Sodium 100mcg Tablet","bottle, 90 each Levothyroxine Sod 100mcg, Oral tablet","Alvogen, Inc.","47781-0651-90","NDC",11256,8888,652,"AB2,AB4","Generic","NDA","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",90.0000,"(1811) Levothyroxine Sodium","2019-05-28 00:00:00","2019-05-28","42.14",,"0.46822"
"Diphenhydramine Hydrochloride 50mg/mL Solution for Injection","box, 25 vials, 1 ml Diphenhydramine HCl 50mg/1mL, Solution for injection","Armas Pharmaceuticals, Inc.","72485-0101-25","NDC",3733,2997,2018,"AP","Generic","aNDA","Rx","On",,"No","No","NA",,"First generation (sedating) Antihistamines (Intramuscular); First generation (sedating) Antihistamines (Intravenous)",25.0000,"(521) Diphenhydramine Hydrochloride","2019-05-28 00:00:00","2019-05-28","125.00",,"5.00000"
"Diphenhydramine Hydrochloride 50mg/mL Solution for Injection","vial, 1 ml Diphenhydramine HCl 50mg/1mL, Solution for injection","Armas Pharmaceuticals, Inc.","72485-0101-01","NDC",3733,2997,2018,"AP","Generic","aNDA","Rx","On",,"No","No","NA",,"First generation (sedating) Antihistamines (Intramuscular); First generation (sedating) Antihistamines (Intravenous)",1.0000,"(521) Diphenhydramine Hydrochloride","2019-05-28 00:00:00","2019-05-28","5.00",,"5.00000"
"Levothryroxine Sodium 112mcg Tablet","bottle, 90 each Levothyroxine Sod 112mcg, Oral tablet","Alvogen, Inc.","47781-0654-90","NDC",11257,8889,652,"AB2,AB4","Generic","NDA","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",90.0000,"(1811) Levothyroxine Sodium","2019-05-28 00:00:00","2019-05-28","48.73",,"0.54144"
"Levothyroxine Sodium 300mcg Tablet","bottle, 90 each Levothyroxine Sod 300mcg, Oral tablet","Alvogen, Inc.","47781-0671-90","NDC",11264,8896,652,"AB2,AB4","Generic","NDA","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",90.0000,"(1811) Levothyroxine Sodium","2019-05-28 00:00:00","2019-05-28","78.17",,"0.86856"
"Levothyroxine Sodium 300mcg Tablet","bottle, 1,000 each Levothyroxine Sod 300mcg, Oral tablet","Alvogen, Inc.","47781-0671-10","NDC",11264,8896,652,"AB2,AB4","Generic","NDA","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",1000.0000,"(1811) Levothyroxine Sodium","2019-05-28 00:00:00","2019-05-28","868.50",,"0.86850"
"Levothyroxine Sodium 88mcg Tablet","bottle, 90 each Levothyroxine Sod 88mcg, Oral tablet","Alvogen, Inc.","47781-0649-90","NDC",11268,8900,652,"AB2,AB4","Generic","NDA","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",90.0000,"(1811) Levothyroxine Sodium","2019-05-28 00:00:00","2019-05-28","41.81",,"0.46456"
"Levothyroxine Sodium 88mcg Tablet","bottle, 1,000 each Levothyroxine Sod 88mcg, Oral tablet","Alvogen, Inc.","47781-0649-10","NDC",11268,8900,652,"AB2,AB4","Generic","NDA","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",1000.0000,"(1811) Levothyroxine Sodium","2019-05-28 00:00:00","2019-05-28","464.64",,"0.46464"
"Clindamycin/Benzoyl Peroxide Pump 1%-5% Topical Gel","box, 1 containers, 28 grams Benzoyl Peroxide 5%, Topical gel, 7 grams Clindamycin PO4 1%, Topical solution and 1 each Pump","Mylan Pharmaceuticals Inc.","00378-8688-52","NDC",26770,13689,8657,"AB","Generic","aNDA","Rx","On",,"No","No","NA",,"Peroxide Preparations for Treatment of Acne (Topical); Antiinfectives for Treatment of Acne (Topical)",35.0000,"(242) Benzoyl Peroxide; (880) Clindamycin Phosphate","2019-04-01 00:00:00","2019-04-01","92.94",,"2.65543"
"Clindamycin/Benzoyl Peroxide Pump 1%-5% Topical Gel","box, 1 containers, 40 grams Benzoyl Peroxide 5%, Topical gel, 10 grams Clindamycin PO4 1%, Topical solution and 1 each Pump","Mylan Pharmaceuticals Inc.","00378-8688-50","NDC",26770,13689,8657,"AB","Generic","aNDA","Rx","On",,"No","No","NA",,"Peroxide Preparations for Treatment of Acne (Topical); Antiinfectives for Treatment of Acne (Topical)",50.0000,"(242) Benzoyl Peroxide; (880) Clindamycin Phosphate","2019-04-01 00:00:00","2019-04-01","113.25",,"2.26500"
"Potassium Chloride 20mEq/15mL Solution","tray, 10 unit dose cups, 15 ml Potassium Cl 20mEq/15mL, Oral solution","Pharmaceutical Associates Inc Div Beach Products","00121-1680-40","NDC",2822,2339,1502,"AA","Generic","aNDA","Rx","On",,"No","No","NA",,"Potassium Supplements (Oral)",150.0000,"(2501) Potassium Chloride","2019-04-01 00:00:00","2019-04-01","126.80",,"0.84533"
"Potassium Chloride 20mEq/15mL Solution","tray, 10 unit dose cups, 15 ml Potassium Cl 20mEq/15mL, Oral solution","Pharmaceutical Associates Inc Div Beach Products","00121-1680-00","NDC",2822,2339,1502,"AA","Generic","aNDA","Rx","On",,"No","No","NA",,"Potassium Supplements (Oral)",150.0000,"(2501) Potassium Chloride","2019-04-01 00:00:00","2019-04-01","120.50",,"0.80333"
"Trianex 0.05% Topical Ointment","jar, 430 grams Triamcinolone Acetonide 0.05%, Topical ointment, augmented","Encore Dermatology, Inc.","67857-0806-19","NDC",18338,15191,9429,"NR","Brand","aNDA","Rx","On",,"No","No","NA",,"Plain Topical Corticosteroids (Topical)",430.0000,"(2244) Triamcinolone Acetonide","2019-04-01 00:00:00","2019-04-01","903.00",,"2.10000"
"Sernivo 0.05% Topical Spray","bottle, spray, 120 ml Betamethasone Diprop 0.05%, Topical spray, solution","Encore Dermatology, Inc.","67857-0808-04","NDC",23828,20027,12801,"NR","Brand","NDA","Rx","On",,"No","No","NA",,"Plain Topical Corticosteroids (Topical)",120.0000,"(256) Betamethasone Dipropionate","2019-04-01 00:00:00","2019-04-01","859.95",,"7.16625"
"Synthroid 100mcg Tablet","box, 10 unit dose blister packs, 10 each Levothyroxine Sod 100mcg, Oral tablet","AbbVie US LLC","00074-6624-11","NDC",11256,8888,652,"AB1,AB2","Brand","NDA","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",100.0000,"(1811) Levothyroxine Sodium","2005-01-27 00:00:00","2019-01-01","123.76","(+) 2.07","1.23760"
"Synthroid 100mcg Tablet","bottle, 1,000 each Levothyroxine Sod 100mcg, Oral tablet","AbbVie US LLC","00074-6624-19","NDC",11256,8888,652,"AB1,AB2","Brand","NDA","Rx","On",,"No","No","NA",,"Thyroid Preparations (Oral)",1000.0000,"(1811) Levothyroxine Sodium","2005-01-27 18:47:47","2019-01-01","1237.88","(+) 4.90","1.23788"
"Theophylline 800mg in Dextrose 5% Solution for Injection","container, 500 ml Theophylline 80mg/100mL, Dextrose 5%, Solution for injection","B Braun Medical Inc","00264-9554-10","NDC",14848,12107,7748,"AP","Brand","NDA","Rx","Off","2020-05-31 00:00:00","No","No","NA",,"Xanthines, Plain (Intravenous)",500.0000,"(2592) Theophylline; (1063) Dextrose","2005-01-27 00:00:00","2019-01-01","3.92","(+) 12.00","0.00784"
"Timolol Maleate 0.25% Ophthalmic Solution","bottle, dropper, 5 ml Timolol Maleate 0.25%, Ophthalmic drops, solution","Sandoz Inc. a Novartis Company","61314-0226-05","NDC",8446,6360,4507,"AT","Generic","aNDA","Rx","On",,"No","No","NA",,"Beta-blockers, Ophthalmic, Plain (Ophthalmic)",5.0000,"(1477) Timolol Maleate","2005-01-27 00:00:00","2019-06-10","5.17","(+) 98.84","1.03400"
"Timolol Maleate 0.25% Ophthalmic Solution","bottle, dropper, 15 ml Timolol Maleate 0.25%, Ophthalmic drops, solution","Sandoz Inc. a Novartis Company","61314-0226-15","NDC",8446,6360,4507,"AT","Generic","aNDA","Rx","On",,"No","No","NA",,"Beta-blockers, Ophthalmic, Plain (Ophthalmic)",15.0000,"(1477) Timolol Maleate","2005-01-27 18:47:47","2019-06-10","15.32","(+) 98.96","1.02133"
"Timolol Maleate 0.25% Ophthalmic Solution","bottle, dropper, 10 ml Timolol Maleate 0.25%, Ophthalmic drops, solution","Sandoz Inc. a Novartis Company","61314-0226-10","NDC",8446,6360,4507,"AT","Generic","aNDA","Rx","On",,"No","No","NA",,"Beta-blockers, Ophthalmic, Plain (Ophthalmic)",10.0000,"(1477) Timolol Maleate","2005-01-27 18:47:47","2019-06-10","10.95","(+) 99.09","1.09500"
"Timolol Maleate 0.5% Ophthalmic Solution","bottle, dropper, 10 ml Timolol Maleate 0.5%, Ophthalmic drops, solution","Sandoz Inc. a Novartis Company","61314-0227-10","NDC",8341,6275,4507,"AT1","Generic","aNDA","Rx","On",,"No","No","NA",,"Beta-blockers, Ophthalmic, Plain (Ophthalmic)",10.0000,"(1477) Timolol Maleate","2005-01-27 18:47:47","2019-06-10","14.13","(+) 99.01","1.41300"
"Timolol Maleate 0.5% Ophthalmic Solution","bottle, dropper, 15 ml Timolol Maleate 0.5%, Ophthalmic drops, solution","Sandoz Inc. a Novartis Company","61314-0227-15","NDC",8341,6275,4507,"AT1","Generic","aNDA","Rx","On",,"No","No","NA",,"Beta-blockers, Ophthalmic, Plain (Ophthalmic)",15.0000,"(1477) Timolol Maleate","2005-01-27 18:47:47","2019-06-10","20.50","(+) 99.02","1.36667"
